ParticipanteID	CPF	NomeRazaoSocial	TURMA_CURSO_AMARELO	TURMA_CURSO_VERDE	TURMA_CURSO_VERMELHO	TURMA_CURSO_AZUL	Cargo	Login	email	Telefone
111	00000000001	CONSECTETUR ADIPISCING ELIT SUSPENDISSE	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	lorem85602	3295387@email.com	(52) 24491122
222	00000000002	VEL ELIT ERAT NULLA	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	ATENDENTE	ipsum68405	7031272@email.com	(87) 24709324
333	00000000003	FACILISI MAURIS DICTUM MAURIS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	DIRETOR TECNICO I	dolor16513	63312@email.com	(79) 64442178
444	00000000004	ID ACCUMSAN VESTIBULUM QUAM	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	AUXILIAR ADMINISTRATIVO	sit84362	1681784@email.com	(90) 29625987
555	00000000005	RISUS PRETIUM PURUS NON	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	amet24841	1239792@email.com	(1) 52570261
666	00000000006	FEUGIAT EST DOLOR EGET	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	consectetur28233	5123326@email.com	(25) 68064976
777	00000000007	SAPIEN INTEGER UT ACCUMSAN	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	AUXILIAR ADMINISTRATIVO	adipiscing487	6354016@email.com	(79) 7683114
888	00000000008	NISL QUIS LACINIA LEO	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	elit64228	4636133@email.com	(74) 25924798
999	00000000009	SUSPENDISSE MATTIS ADIPISCING LECTUS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	suspendisse92049	5237947@email.com	(58) 7970236
1110	00000000010	ET ULLAMCORPER CRAS NULLA	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	OFICIAL ADMINISTRATIVO	vel90372	3507821@email.com	(33) 98308159
1221	00000000011	NUNC PLACERAT PELLENTESQUE NISI	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	ESCRITURARIO	elit8561	3294047@email.com	(0) 92801731
1332	00000000012	VEL VESTIBULUM HENDRERIT SEM	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	erat93034	8814366@email.com	(32) 77030550
1443	00000000013	VESTIBULUM NON HENDRERIT TELLUS	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	OFICIAL ESTADUAL DE TRÂNSITO	nulla44543	3292102@email.com	(48) 48654267
1554	00000000014	NULLA ET ERAT NUNC	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	AUXILIAR ADMINISTRATIVO	facilisi55092	570037@email.com	(28) 47915961
1665	00000000015	PELLENTESQUE EGET SAPIEN AT	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	DIRETOR TECNICO I	mauris39556	1637548@email.com	(4) 30092866
1776	00000000016	METUS AUCTOR VARIUS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	DIRETOR TECNICO II	dictum85654	1573409@email.com	(11) 47000409
1887	00000000017	MAURIS EGET	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	AUXILIAR ADMINISTRATIVO	mauris2137	3129805@email.com	(42) 64294811
1998	00000000018	MATTIS SAPIEN EGET FAUCIBUS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	id98637	2121517@email.com	(91) 26522779
2109	00000000019	SEM SED EU PURUS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	accumsan77723	6515056@email.com	(20) 90188943
2220	00000000020	PRETIUM URNA MOLLIS BLANDIT	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	 Outro	vestibulum51110	837730@email.com	(7) 80018569
2331	00000000021	AC VITAE DUI DONEC	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	ESCRITURARIO	quam10885	4243524@email.com	(43) 82602671
